"Cost per minute in CLP on the WhatsApp Business Platform, effective April 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
,CLP,"1,000,001","2,500,000",Tier rate,3.8849
,CLP,"2,500,001","5,000,000",Tier rate,3.62
,CLP,"5,000,001",--,Tier rate,3.3551
Spain,CLP,,"50,000",List rate,11.3897
,CLP,"50,001","250,000",Tier rate,9.977
,CLP,"250,001","1,000,000",Tier rate,8.9176
,CLP,"1,000,001","2,500,000",Tier rate,7.5048
,CLP,"2,500,001","5,000,000",Tier rate,6.0921
,CLP,"5,000,001",--,Tier rate,5.3858
Turkey,CLP,,"50,000",List rate,9.5356
,CLP,"50,001","250,000",Tier rate,7.6815
,CLP,"250,001","1,000,000",Tier rate,6.7985
,CLP,"1,000,001","2,500,000",Tier rate,5.739
,CLP,"2,500,001","5,000,000",Tier rate,4.238
,CLP,"5,000,001",--,Tier rate,3.7083
United Arab Emirates,CLP,,"50,000",List rate,11.2131
,CLP,"50,001","250,000",Tier rate,9.4473
,CLP,"250,001","1,000,000",Tier rate,7.9463
,CLP,"1,000,001","2,500,000",Tier rate,6.0038
,CLP,"2,500,001","5,000,000",Tier rate,4.8561
,CLP,"5,000,001",--,Tier rate,4.4146
United Kingdom,CLP,,"50,000",List rate,8.7409
,CLP,"50,001","250,000",Tier rate,7.5931
,CLP,"250,001","1,000,000",Tier rate,6.6219
,CLP,"1,000,001","2,500,000",Tier rate,5.0327
,CLP,"2,500,001","5,000,000",Tier rate,3.7082
,CLP,"5,000,001",--,Tier rate,3.1785
North America,CLP,,"50,000",List rate,10.6833
,CLP,"50,001","250,000",Tier rate,8.9175
,CLP,"250,001","1,000,000",Tier rate,7.9462
,CLP,"1,000,001","2,500,000",Tier rate,5.739
,CLP,"2,500,001","5,000,000",Tier rate,3.7966
,CLP,"5,000,001",--,Tier rate,3.7083
Rest of Africa,CLP,,"50,000",List rate,9.0941
,CLP,"50,001","250,000",Tier rate,7.4165
,CLP,"250,001","1,000,000",Tier rate,6.5337
,CLP,"1,000,001","2,500,000",Tier rate,5.4741
,CLP,"2,500,001","5,000,000",Tier rate,4.1497
,CLP,"5,000,001",--,Tier rate,3.7083
Rest of Asia Pacific,CLP,,"50,000",List rate,10.0653
,CLP,"50,001","250,000",Tier rate,8.2994
,CLP,"250,001","1,000,000",Tier rate,7.1517
,CLP,"1,000,001","2,500,000",Tier rate,6.0921
,CLP,"2,500,001","5,000,000",Tier rate,4.5912
,CLP,"5,000,001",--,Tier rate,3.8848
Rest of Central & Eastern Europe,CLP,,"50,000",List rate,8.3878
,CLP,"50,001","250,000",Tier rate,6.7102
,CLP,"250,001","1,000,000",Tier rate,5.8273
,CLP,"1,000,001","2,500,000",Tier rate,5.121
,CLP,"2,500,001","5,000,000",Tier rate,3.7966
,CLP,"5,000,001",--,Tier rate,3.2668
Rest of Latin America,CLP,,"50,000",List rate,10.2419
,CLP,"50,001","250,000",Tier rate,8.3878
,CLP,"250,001","1,000,000",Tier rate,7.24
,CLP,"1,000,001","2,500,000",Tier rate,6.1805
,CLP,"2,500,001","5,000,000",Tier rate,4.238
,CLP,"5,000,001",--,Tier rate,4.1497
Rest of Middle East,CLP,,"50,000",List rate,11.2131
,CLP,"50,001","250,000",Tier rate,9.4473
,CLP,"250,001","1,000,000",Tier rate,7.9463
,CLP,"1,000,001","2,500,000",Tier rate,6.0038
,CLP,"2,500,001","5,000,000",Tier rate,4.8561
,CLP,"5,000,001",--,Tier rate,4.4146
Rest of Western Europe,CLP,,"50,000",List rate,9.0941
,CLP,"50,001","250,000",Tier rate,7.4165
,CLP,"250,001","1,000,000",Tier rate,6.5337
,CLP,"1,000,001","2,500,000",Tier rate,5.4741
,CLP,"2,500,001","5,000,000",Tier rate,4.8561
,CLP,"5,000,001",--,Tier rate,4.1497
Other,CLP,,"50,000",List rate,11.6546
,CLP,"50,001","250,000",Tier rate,9.977
,CLP,"250,001","1,000,000",Tier rate,8.476
,CLP,"1,000,001","2,500,000",Tier rate,7.3283
,CLP,"2,500,001","5,000,000",Tier rate,6.7103
,CLP,"5,000,001",--,Tier rate,6.357
