"Cost per minute in IDR on the WhatsApp Business Platform, effective August 1, 2025",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
,Rp,"250,001","1,000,000",Tier rate,144.1
,Rp,"1,000,001","2,500,000",Tier rate,121.3
,Rp,"2,500,001","5,000,000",Tier rate,98.5
,Rp,"5,000,001",--,Tier rate,87.1
Turkey,Rp,,"50,000",List rate,154.1
,Rp,"50,001","250,000",Tier rate,124.2
,Rp,"250,001","1,000,000",Tier rate,109.9
,Rp,"1,000,001","2,500,000",Tier rate,92.8
,Rp,"2,500,001","5,000,000",Tier rate,68.5
,Rp,"5,000,001",--,Tier rate,59.9
United Arab Emirates,Rp,,"50,000",List rate,181.3
,Rp,"50,001","250,000",Tier rate,152.7
,Rp,"250,001","1,000,000",Tier rate,128.4
,Rp,"1,000,001","2,500,000",Tier rate,97
,Rp,"2,500,001","5,000,000",Tier rate,78.5
,Rp,"5,000,001",--,Tier rate,71.4
United Kingdom,Rp,,"50,000",List rate,141.3
,Rp,"50,001","250,000",Tier rate,122.7
,Rp,"250,001","1,000,000",Tier rate,107
,Rp,"1,000,001","2,500,000",Tier rate,81.4
,Rp,"2,500,001","5,000,000",Tier rate,59.9
,Rp,"5,000,001",--,Tier rate,51.4
North America,Rp,,"50,000",List rate,172.7
,Rp,"50,001","250,000",Tier rate,144.1
,Rp,"250,001","1,000,000",Tier rate,128.4
,Rp,"1,000,001","2,500,000",Tier rate,92.8
,Rp,"2,500,001","5,000,000",Tier rate,61.4
,Rp,"5,000,001",--,Tier rate,59.9
Rest of Africa,Rp,,"50,000",List rate,147
,Rp,"50,001","250,000",Tier rate,119.9
,Rp,"250,001","1,000,000",Tier rate,105.6
,Rp,"1,000,001","2,500,000",Tier rate,88.5
,Rp,"2,500,001","5,000,000",Tier rate,67.1
,Rp,"5,000,001",--,Tier rate,59.9
Rest of Asia Pacific,Rp,,"50,000",List rate,162.7
