"Cost per minute in MYR on the WhatsApp Business Platform, effective April 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
,MYR,"1,000,001","2,500,000",Tier rate,0.0177
,MYR,"2,500,001","5,000,000",Tier rate,0.0165
,MYR,"5,000,001",--,Tier rate,0.0153
Spain,MYR,,"50,000",List rate,0.052
,MYR,"50,001","250,000",Tier rate,0.0456
,MYR,"250,001","1,000,000",Tier rate,0.0407
,MYR,"1,000,001","2,500,000",Tier rate,0.0343
,MYR,"2,500,001","5,000,000",Tier rate,0.0278
,MYR,"5,000,001",--,Tier rate,0.0246
Turkey,MYR,,"50,000",List rate,0.0435
,MYR,"50,001","250,000",Tier rate,0.035
,MYR,"250,001","1,000,000",Tier rate,0.031
,MYR,"1,000,001","2,500,000",Tier rate,0.0262
,MYR,"2,500,001","5,000,000",Tier rate,0.0193
,MYR,"5,000,001",--,Tier rate,0.0169
United Arab Emirates,MYR,,"50,000",List rate,0.0512
,MYR,"50,001","250,000",Tier rate,0.0431
,MYR,"250,001","1,000,000",Tier rate,0.0363
,MYR,"1,000,001","2,500,000",Tier rate,0.0274
,MYR,"2,500,001","5,000,000",Tier rate,0.0222
,MYR,"5,000,001",--,Tier rate,0.0202
United Kingdom,MYR,,"50,000",List rate,0.0399
,MYR,"50,001","250,000",Tier rate,0.0347
,MYR,"250,001","1,000,000",Tier rate,0.0302
,MYR,"1,000,001","2,500,000",Tier rate,0.023
,MYR,"2,500,001","5,000,000",Tier rate,0.0169
,MYR,"5,000,001",--,Tier rate,0.0145
North America,MYR,,"50,000",List rate,0.0488
,MYR,"50,001","250,000",Tier rate,0.0407
,MYR,"250,001","1,000,000",Tier rate,0.0363
,MYR,"1,000,001","2,500,000",Tier rate,0.0262
,MYR,"2,500,001","5,000,000",Tier rate,0.0173
,MYR,"5,000,001",--,Tier rate,0.0169
Rest of Africa,MYR,,"50,000",List rate,0.0415
,MYR,"50,001","250,000",Tier rate,0.0338
,MYR,"250,001","1,000,000",Tier rate,0.0298
,MYR,"1,000,001","2,500,000",Tier rate,0.025
,MYR,"2,500,001","5,000,000",Tier rate,0.0189
,MYR,"5,000,001",--,Tier rate,0.0169
Rest of Asia Pacific,MYR,,"50,000",List rate,0.046
,MYR,"50,001","250,000",Tier rate,0.0379
,MYR,"250,001","1,000,000",Tier rate,0.0327
,MYR,"1,000,001","2,500,000",Tier rate,0.0278
,MYR,"2,500,001","5,000,000",Tier rate,0.021
,MYR,"5,000,001",--,Tier rate,0.0178
Rest of Central & Eastern Europe,MYR,,"50,000",List rate,0.0383
,MYR,"50,001","250,000",Tier rate,0.0306
,MYR,"250,001","1,000,000",Tier rate,0.0266
,MYR,"1,000,001","2,500,000",Tier rate,0.0234
,MYR,"2,500,001","5,000,000",Tier rate,0.0173
,MYR,"5,000,001",--,Tier rate,0.0149
Rest of Latin America,MYR,,"50,000",List rate,0.0468
,MYR,"50,001","250,000",Tier rate,0.0383
,MYR,"250,001","1,000,000",Tier rate,0.0331
,MYR,"1,000,001","2,500,000",Tier rate,0.0282
,MYR,"2,500,001","5,000,000",Tier rate,0.0194
,MYR,"5,000,001",--,Tier rate,0.019
Rest of Middle East,MYR,,"50,000",List rate,0.0512
,MYR,"50,001","250,000",Tier rate,0.0431
,MYR,"250,001","1,000,000",Tier rate,0.0363
,MYR,"1,000,001","2,500,000",Tier rate,0.0274
,MYR,"2,500,001","5,000,000",Tier rate,0.0222
,MYR,"5,000,001",--,Tier rate,0.0202
Rest of Western Europe,MYR,,"50,000",List rate,0.0415
,MYR,"50,001","250,000",Tier rate,0.0338
,MYR,"250,001","1,000,000",Tier rate,0.0298
,MYR,"1,000,001","2,500,000",Tier rate,0.025
,MYR,"2,500,001","5,000,000",Tier rate,0.0222
,MYR,"5,000,001",--,Tier rate,0.0189
Other,MYR,,"50,000",List rate,0.0532
,MYR,"50,001","250,000",Tier rate,0.0455
,MYR,"250,001","1,000,000",Tier rate,0.0387
,MYR,"1,000,001","2,500,000",Tier rate,0.0335
,MYR,"2,500,001","5,000,000",Tier rate,0.0306
,MYR,"5,000,001",--,Tier rate,0.029
