"Cost per minute in SAR on the WhatsApp Business Platform, effective April 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
,SAR,"1,000,001","2,500,000",Tier rate,0.0165
,SAR,"2,500,001","5,000,000",Tier rate,0.0154
,SAR,"5,000,001",--,Tier rate,0.0142
Spain,SAR,,"50,000",List rate,0.0483
,SAR,"50,001","250,000",Tier rate,0.0423
,SAR,"250,001","1,000,000",Tier rate,0.0378
,SAR,"1,000,001","2,500,000",Tier rate,0.0318
,SAR,"2,500,001","5,000,000",Tier rate,0.0258
,SAR,"5,000,001",--,Tier rate,0.0228
Turkey,SAR,,"50,000",List rate,0.0405
,SAR,"50,001","250,000",Tier rate,0.0326
,SAR,"250,001","1,000,000",Tier rate,0.0289
,SAR,"1,000,001","2,500,000",Tier rate,0.0244
,SAR,"2,500,001","5,000,000",Tier rate,0.018
,SAR,"5,000,001",--,Tier rate,0.0158
United Arab Emirates,SAR,,"50,000",List rate,0.0476
,SAR,"50,001","250,000",Tier rate,0.0401
,SAR,"250,001","1,000,000",Tier rate,0.0337
,SAR,"1,000,001","2,500,000",Tier rate,0.0255
,SAR,"2,500,001","5,000,000",Tier rate,0.0206
,SAR,"5,000,001",--,Tier rate,0.0187
United Kingdom,SAR,,"50,000",List rate,0.0371
,SAR,"50,001","250,000",Tier rate,0.0322
,SAR,"250,001","1,000,000",Tier rate,0.0281
,SAR,"1,000,001","2,500,000",Tier rate,0.0214
,SAR,"2,500,001","5,000,000",Tier rate,0.0157
,SAR,"5,000,001",--,Tier rate,0.0135
North America,SAR,,"50,000",List rate,0.0453
,SAR,"50,001","250,000",Tier rate,0.0378
,SAR,"250,001","1,000,000",Tier rate,0.0337
,SAR,"1,000,001","2,500,000",Tier rate,0.0243
,SAR,"2,500,001","5,000,000",Tier rate,0.0161
,SAR,"5,000,001",--,Tier rate,0.0157
Rest of Africa,SAR,,"50,000",List rate,0.0386
,SAR,"50,001","250,000",Tier rate,0.0315
,SAR,"250,001","1,000,000",Tier rate,0.0277
,SAR,"1,000,001","2,500,000",Tier rate,0.0232
,SAR,"2,500,001","5,000,000",Tier rate,0.0176
,SAR,"5,000,001",--,Tier rate,0.0157
Rest of Asia Pacific,SAR,,"50,000",List rate,0.0427
,SAR,"50,001","250,000",Tier rate,0.0352
,SAR,"250,001","1,000,000",Tier rate,0.0303
,SAR,"1,000,001","2,500,000",Tier rate,0.0258
,SAR,"2,500,001","5,000,000",Tier rate,0.0195
,SAR,"5,000,001",--,Tier rate,0.0165
Rest of Central & Eastern Europe,SAR,,"50,000",List rate,0.0356
,SAR,"50,001","250,000",Tier rate,0.0285
,SAR,"250,001","1,000,000",Tier rate,0.0247
,SAR,"1,000,001","2,500,000",Tier rate,0.0217
,SAR,"2,500,001","5,000,000",Tier rate,0.0161
,SAR,"5,000,001",--,Tier rate,0.0139
Rest of Latin America,SAR,,"50,000",List rate,0.0435
,SAR,"50,001","250,000",Tier rate,0.0356
,SAR,"250,001","1,000,000",Tier rate,0.0308
,SAR,"1,000,001","2,500,000",Tier rate,0.0263
,SAR,"2,500,001","5,000,000",Tier rate,0.018
,SAR,"5,000,001",--,Tier rate,0.0176
Rest of Middle East,SAR,,"50,000",List rate,0.0476
,SAR,"50,001","250,000",Tier rate,0.0401
,SAR,"250,001","1,000,000",Tier rate,0.0337
,SAR,"1,000,001","2,500,000",Tier rate,0.0255
,SAR,"2,500,001","5,000,000",Tier rate,0.0206
,SAR,"5,000,001",--,Tier rate,0.0187
Rest of Western Europe,SAR,,"50,000",List rate,0.0386
,SAR,"50,001","250,000",Tier rate,0.0315
,SAR,"250,001","1,000,000",Tier rate,0.0277
,SAR,"1,000,001","2,500,000",Tier rate,0.0232
,SAR,"2,500,001","5,000,000",Tier rate,0.0206
,SAR,"5,000,001",--,Tier rate,0.0176
Other,SAR,,"50,000",List rate,0.0495
,SAR,"50,001","250,000",Tier rate,0.0424
,SAR,"250,001","1,000,000",Tier rate,0.036
,SAR,"1,000,001","2,500,000",Tier rate,0.0311
,SAR,"2,500,001","5,000,000",Tier rate,0.0285
,SAR,"5,000,001",--,Tier rate,0.027
