"Cost per minute in MXN on the WhatsApp Business Platform, effective January 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
,MXN,"1,000,001","2,500,000",Tier rate,0.081
,MXN,"2,500,001","5,000,000",Tier rate,0.0755
,MXN,"5,000,001",--,Tier rate,0.0699
Spain,MXN,,"50,000",List rate,0.2374
,MXN,"50,001","250,000",Tier rate,0.208
,MXN,"250,001","1,000,000",Tier rate,0.1859
,MXN,"1,000,001","2,500,000",Tier rate,0.1564
,MXN,"2,500,001","5,000,000",Tier rate,0.127
,MXN,"5,000,001",--,Tier rate,0.1123
Turkey,MXN,,"50,000",List rate,0.1988
,MXN,"50,001","250,000",Tier rate,0.1601
,MXN,"250,001","1,000,000",Tier rate,0.1417
,MXN,"1,000,001","2,500,000",Tier rate,0.1196
,MXN,"2,500,001","5,000,000",Tier rate,0.0884
,MXN,"5,000,001",--,Tier rate,0.0773
United Arab Emirates,MXN,,"50,000",List rate,0.2338
,MXN,"50,001","250,000",Tier rate,0.197
,MXN,"250,001","1,000,000",Tier rate,0.1657
,MXN,"1,000,001","2,500,000",Tier rate,0.1252
,MXN,"2,500,001","5,000,000",Tier rate,0.1013
,MXN,"5,000,001",--,Tier rate,0.092
United Kingdom,MXN,,"50,000",List rate,0.1822
,MXN,"50,001","250,000",Tier rate,0.1583
,MXN,"250,001","1,000,000",Tier rate,0.138
,MXN,"1,000,001","2,500,000",Tier rate,0.1049
,MXN,"2,500,001","5,000,000",Tier rate,0.0773
,MXN,"5,000,001",--,Tier rate,0.0663
North America,MXN,,"50,000",List rate,0.2227
,MXN,"50,001","250,000",Tier rate,0.1859
,MXN,"250,001","1,000,000",Tier rate,0.1656
,MXN,"1,000,001","2,500,000",Tier rate,0.1196
,MXN,"2,500,001","5,000,000",Tier rate,0.0791
,MXN,"5,000,001",--,Tier rate,0.0773
Rest of Africa,MXN,,"50,000",List rate,0.1896
,MXN,"50,001","250,000",Tier rate,0.1546
,MXN,"250,001","1,000,000",Tier rate,0.1362
,MXN,"1,000,001","2,500,000",Tier rate,0.1141
,MXN,"2,500,001","5,000,000",Tier rate,0.0865
,MXN,"5,000,001",--,Tier rate,0.0773
Rest of Asia Pacific,MXN,,"50,000",List rate,0.2098
,MXN,"50,001","250,000",Tier rate,0.173
,MXN,"250,001","1,000,000",Tier rate,0.1491
,MXN,"1,000,001","2,500,000",Tier rate,0.127
,MXN,"2,500,001","5,000,000",Tier rate,0.0957
,MXN,"5,000,001",--,Tier rate,0.081
Rest of Central & Eastern Europe,MXN,,"50,000",List rate,0.1749
,MXN,"50,001","250,000",Tier rate,0.1399
,MXN,"250,001","1,000,000",Tier rate,0.1215
,MXN,"1,000,001","2,500,000",Tier rate,0.1068
,MXN,"2,500,001","5,000,000",Tier rate,0.0792
,MXN,"5,000,001",--,Tier rate,0.0681
Rest of Latin America,MXN,,"50,000",List rate,0.2135
,MXN,"50,001","250,000",Tier rate,0.1749
,MXN,"250,001","1,000,000",Tier rate,0.1509
,MXN,"1,000,001","2,500,000",Tier rate,0.1288
,MXN,"2,500,001","5,000,000",Tier rate,0.0883
,MXN,"5,000,001",--,Tier rate,0.0865
Rest of Middle East,MXN,,"50,000",List rate,0.2338
,MXN,"50,001","250,000",Tier rate,0.197
