"Cost per minute in COP on the WhatsApp Business Platform, effective April 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
,COP,"250,001","1,000,000",Tier rate,37.1865
,COP,"1,000,001","2,500,000",Tier rate,31.2952
,COP,"2,500,001","5,000,000",Tier rate,25.4043
,COP,"5,000,001",--,Tier rate,22.4591
Turkey,COP,,"50,000",List rate,39.7636
,COP,"50,001","250,000",Tier rate,32.032
,COP,"250,001","1,000,000",Tier rate,28.3499
,COP,"1,000,001","2,500,000",Tier rate,23.9317
,COP,"2,500,001","5,000,000",Tier rate,17.6725
,COP,"5,000,001",--,Tier rate,15.4637
United Arab Emirates,COP,,"50,000",List rate,46.759
,COP,"50,001","250,000",Tier rate,39.3954
,COP,"250,001","1,000,000",Tier rate,33.1362
,COP,"1,000,001","2,500,000",Tier rate,25.0362
,COP,"2,500,001","5,000,000",Tier rate,20.2499
,COP,"5,000,001",--,Tier rate,18.409
United Kingdom,COP,,"50,000",List rate,36.45
,COP,"50,001","250,000",Tier rate,31.6638
,COP,"250,001","1,000,000",Tier rate,27.6138
,COP,"1,000,001","2,500,000",Tier rate,20.9865
,COP,"2,500,001","5,000,000",Tier rate,15.4635
,COP,"5,000,001",--,Tier rate,13.2547
North America,COP,,"50,000",List rate,44.5499
,COP,"50,001","250,000",Tier rate,37.1862
,COP,"250,001","1,000,000",Tier rate,33.1362
,COP,"1,000,001","2,500,000",Tier rate,23.9318
,COP,"2,500,001","5,000,000",Tier rate,15.8321
,COP,"5,000,001",--,Tier rate,15.4637
Rest of Africa,COP,,"50,000",List rate,37.9227
,COP,"50,001","250,000",Tier rate,30.9271
,COP,"250,001","1,000,000",Tier rate,27.2456
,COP,"1,000,001","2,500,000",Tier rate,22.8272
,COP,"2,500,001","5,000,000",Tier rate,17.3045
,COP,"5,000,001",--,Tier rate,15.4637
Rest of Asia Pacific,COP,,"50,000",List rate,41.9727
,COP,"50,001","250,000",Tier rate,34.609
,COP,"250,001","1,000,000",Tier rate,29.8229
,COP,"1,000,001","2,500,000",Tier rate,25.4044
,COP,"2,500,001","5,000,000",Tier rate,19.1454
,COP,"5,000,001",--,Tier rate,16.1998
Rest of Central & Eastern Europe,COP,,"50,000",List rate,34.9772
,COP,"50,001","250,000",Tier rate,27.9818
,COP,"250,001","1,000,000",Tier rate,24.3001
,COP,"1,000,001","2,500,000",Tier rate,21.3546
,COP,"2,500,001","5,000,000",Tier rate,15.8317
,COP,"5,000,001",--,Tier rate,13.6226
Rest of Latin America,COP,,"50,000",List rate,42.709
,COP,"50,001","250,000",Tier rate,34.9774
,COP,"250,001","1,000,000",Tier rate,30.191
,COP,"1,000,001","2,500,000",Tier rate,25.7727
,COP,"2,500,001","5,000,000",Tier rate,17.6726
,COP,"5,000,001",--,Tier rate,17.3044
Rest of Middle East,COP,,"50,000",List rate,46.759
,COP,"50,001","250,000",Tier rate,39.3954
,COP,"250,001","1,000,000",Tier rate,33.1362
,COP,"1,000,001","2,500,000",Tier rate,25.0362
,COP,"2,500,001","5,000,000",Tier rate,20.2499
,COP,"5,000,001",--,Tier rate,18.409
Rest of Western Europe,COP,,"50,000",List rate,37.9227
,COP,"50,001","250,000",Tier rate,30.9271
,COP,"250,001","1,000,000",Tier rate,27.2456
,COP,"1,000,001","2,500,000",Tier rate,22.8272
,COP,"2,500,001","5,000,000",Tier rate,20.25
,COP,"5,000,001",--,Tier rate,17.3045
Other,COP,,"50,000",List rate,48.5999
,COP,"50,001","250,000",Tier rate,41.6044
,COP,"250,001","1,000,000",Tier rate,35.3452
,COP,"1,000,001","2,500,000",Tier rate,30.5591
,COP,"2,500,001","5,000,000",Tier rate,27.9819
,COP,"5,000,001",--,Tier rate,26.5088
