"Cost per minute in PEN on the WhatsApp Business Platform, effective April 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
,PEN,"1,000,001","2,500,000",Tier rate,0.0146
,PEN,"2,500,001","5,000,000",Tier rate,0.0136
,PEN,"5,000,001",--,Tier rate,0.0126
Spain,PEN,,"50,000",List rate,0.0429
,PEN,"50,001","250,000",Tier rate,0.0376
,PEN,"250,001","1,000,000",Tier rate,0.0336
,PEN,"1,000,001","2,500,000",Tier rate,0.0283
,PEN,"2,500,001","5,000,000",Tier rate,0.0229
,PEN,"5,000,001",--,Tier rate,0.0203
Turkey,PEN,,"50,000",List rate,0.0359
,PEN,"50,001","250,000",Tier rate,0.0289
,PEN,"250,001","1,000,000",Tier rate,0.0256
,PEN,"1,000,001","2,500,000",Tier rate,0.0216
,PEN,"2,500,001","5,000,000",Tier rate,0.016
,PEN,"5,000,001",--,Tier rate,0.014
United Arab Emirates,PEN,,"50,000",List rate,0.0423
,PEN,"50,001","250,000",Tier rate,0.0356
,PEN,"250,001","1,000,000",Tier rate,0.03
,PEN,"1,000,001","2,500,000",Tier rate,0.0226
,PEN,"2,500,001","5,000,000",Tier rate,0.0183
,PEN,"5,000,001",--,Tier rate,0.0167
United Kingdom,PEN,,"50,000",List rate,0.0329
,PEN,"50,001","250,000",Tier rate,0.0286
,PEN,"250,001","1,000,000",Tier rate,0.0249
,PEN,"1,000,001","2,500,000",Tier rate,0.0189
,PEN,"2,500,001","5,000,000",Tier rate,0.014
,PEN,"5,000,001",--,Tier rate,0.012
North America,PEN,,"50,000",List rate,0.0403
,PEN,"50,001","250,000",Tier rate,0.0336
,PEN,"250,001","1,000,000",Tier rate,0.03
,PEN,"1,000,001","2,500,000",Tier rate,0.0216
,PEN,"2,500,001","5,000,000",Tier rate,0.0143
,PEN,"5,000,001",--,Tier rate,0.014
Rest of Africa,PEN,,"50,000",List rate,0.0343
,PEN,"50,001","250,000",Tier rate,0.028
,PEN,"250,001","1,000,000",Tier rate,0.0246
,PEN,"1,000,001","2,500,000",Tier rate,0.0206
,PEN,"2,500,001","5,000,000",Tier rate,0.0157
,PEN,"5,000,001",--,Tier rate,0.014
Rest of Asia Pacific,PEN,,"50,000",List rate,0.0379
,PEN,"50,001","250,000",Tier rate,0.0313
,PEN,"250,001","1,000,000",Tier rate,0.0269
,PEN,"1,000,001","2,500,000",Tier rate,0.0229
,PEN,"2,500,001","5,000,000",Tier rate,0.0173
,PEN,"5,000,001",--,Tier rate,0.0146
Rest of Central & Eastern Europe,PEN,,"50,000",List rate,0.0316
,PEN,"50,001","250,000",Tier rate,0.0253
,PEN,"250,001","1,000,000",Tier rate,0.022
,PEN,"1,000,001","2,500,000",Tier rate,0.0193
,PEN,"2,500,001","5,000,000",Tier rate,0.0143
,PEN,"5,000,001",--,Tier rate,0.0123
Rest of Latin America,PEN,,"50,000",List rate,0.0386
,PEN,"50,001","250,000",Tier rate,0.0316
,PEN,"250,001","1,000,000",Tier rate,0.0273
,PEN,"1,000,001","2,500,000",Tier rate,0.0233
,PEN,"2,500,001","5,000,000",Tier rate,0.016
,PEN,"5,000,001",--,Tier rate,0.0156
Rest of Middle East,PEN,,"50,000",List rate,0.0423
,PEN,"50,001","250,000",Tier rate,0.0356
,PEN,"250,001","1,000,000",Tier rate,0.03
,PEN,"1,000,001","2,500,000",Tier rate,0.0226
,PEN,"2,500,001","5,000,000",Tier rate,0.0183
,PEN,"5,000,001",--,Tier rate,0.0167
Rest of Western Europe,PEN,,"50,000",List rate,0.0343
,PEN,"50,001","250,000",Tier rate,0.028
,PEN,"250,001","1,000,000",Tier rate,0.0246
,PEN,"1,000,001","2,500,000",Tier rate,0.0206
,PEN,"2,500,001","5,000,000",Tier rate,0.0183
,PEN,"5,000,001",--,Tier rate,0.0157
Other,PEN,,"50,000",List rate,0.0439
,PEN,"50,001","250,000",Tier rate,0.0376
,PEN,"250,001","1,000,000",Tier rate,0.0319
,PEN,"1,000,001","2,500,000",Tier rate,0.0276
,PEN,"2,500,001","5,000,000",Tier rate,0.0253
,PEN,"5,000,001",--,Tier rate,0.0239
