"Cost per minute in SGD on the WhatsApp Business Platform, effective April 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
,SGD,"1,000,001","2,500,000",Tier rate,0.0056
,SGD,"2,500,001","5,000,000",Tier rate,0.0052
,SGD,"5,000,001",--,Tier rate,0.0049
Spain,SGD,,"50,000",List rate,0.0165
,SGD,"50,001","250,000",Tier rate,0.0145
,SGD,"250,001","1,000,000",Tier rate,0.0129
,SGD,"1,000,001","2,500,000",Tier rate,0.0109
,SGD,"2,500,001","5,000,000",Tier rate,0.0088
,SGD,"5,000,001",--,Tier rate,0.0078
Turkey,SGD,,"50,000",List rate,0.0138
,SGD,"50,001","250,000",Tier rate,0.0111
,SGD,"250,001","1,000,000",Tier rate,0.0098
,SGD,"1,000,001","2,500,000",Tier rate,0.0083
,SGD,"2,500,001","5,000,000",Tier rate,0.0061
,SGD,"5,000,001",--,Tier rate,0.0054
United Arab Emirates,SGD,,"50,000",List rate,0.0163
,SGD,"50,001","250,000",Tier rate,0.0137
,SGD,"250,001","1,000,000",Tier rate,0.0116
,SGD,"1,000,001","2,500,000",Tier rate,0.0087
,SGD,"2,500,001","5,000,000",Tier rate,0.0071
,SGD,"5,000,001",--,Tier rate,0.0064
United Kingdom,SGD,,"50,000",List rate,0.0127
,SGD,"50,001","250,000",Tier rate,0.011
,SGD,"250,001","1,000,000",Tier rate,0.0096
,SGD,"1,000,001","2,500,000",Tier rate,0.0073
,SGD,"2,500,001","5,000,000",Tier rate,0.0054
,SGD,"5,000,001",--,Tier rate,0.0046
North America,SGD,,"50,000",List rate,0.0155
,SGD,"50,001","250,000",Tier rate,0.0129
,SGD,"250,001","1,000,000",Tier rate,0.0115
,SGD,"1,000,001","2,500,000",Tier rate,0.0083
,SGD,"2,500,001","5,000,000",Tier rate,0.0055
,SGD,"5,000,001",--,Tier rate,0.0054
Rest of Africa,SGD,,"50,000",List rate,0.0132
,SGD,"50,001","250,000",Tier rate,0.0108
,SGD,"250,001","1,000,000",Tier rate,0.0095
,SGD,"1,000,001","2,500,000",Tier rate,0.0079
,SGD,"2,500,001","5,000,000",Tier rate,0.006
,SGD,"5,000,001",--,Tier rate,0.0054
Rest of Asia Pacific,SGD,,"50,000",List rate,0.0146
,SGD,"50,001","250,000",Tier rate,0.012
,SGD,"250,001","1,000,000",Tier rate,0.0104
,SGD,"1,000,001","2,500,000",Tier rate,0.0088
,SGD,"2,500,001","5,000,000",Tier rate,0.0067
,SGD,"5,000,001",--,Tier rate,0.0056
Rest of Central & Eastern Europe,SGD,,"50,000",List rate,0.0122
,SGD,"50,001","250,000",Tier rate,0.0098
,SGD,"250,001","1,000,000",Tier rate,0.0085
,SGD,"1,000,001","2,500,000",Tier rate,0.0074
,SGD,"2,500,001","5,000,000",Tier rate,0.0055
,SGD,"5,000,001",--,Tier rate,0.0048
Rest of Latin America,SGD,,"50,000",List rate,0.0149
,SGD,"50,001","250,000",Tier rate,0.0122
,SGD,"250,001","1,000,000",Tier rate,0.0105
,SGD,"1,000,001","2,500,000",Tier rate,0.009
,SGD,"2,500,001","5,000,000",Tier rate,0.0062
,SGD,"5,000,001",--,Tier rate,0.006
Rest of Middle East,SGD,,"50,000",List rate,0.0163
,SGD,"50,001","250,000",Tier rate,0.0137
,SGD,"250,001","1,000,000",Tier rate,0.0116
,SGD,"1,000,001","2,500,000",Tier rate,0.0087
,SGD,"2,500,001","5,000,000",Tier rate,0.0071
,SGD,"5,000,001",--,Tier rate,0.0064
Rest of Western Europe,SGD,,"50,000",List rate,0.0132
,SGD,"50,001","250,000",Tier rate,0.0108
,SGD,"250,001","1,000,000",Tier rate,0.0095
,SGD,"1,000,001","2,500,000",Tier rate,0.0079
,SGD,"2,500,001","5,000,000",Tier rate,0.007
,SGD,"5,000,001",--,Tier rate,0.006
Other,SGD,,"50,000",List rate,0.0169
,SGD,"50,001","250,000",Tier rate,0.0145
,SGD,"250,001","1,000,000",Tier rate,0.0123
,SGD,"1,000,001","2,500,000",Tier rate,0.0106
,SGD,"2,500,001","5,000,000",Tier rate,0.0097
,SGD,"5,000,001",--,Tier rate,0.0092
